Host,Species,Assembly,SRA_Accession,Submitters,Release_Date,Isolate,Genus,Family,Molecule_type,Sequence_Type,Genotype,Segment,Publications,Geo_Location,Country,USA,Isolation_Source,Collection_Date,BioSample,GenBank_Title,Species_superkingdom,Species_clade,Species_kingdom,Species_phylum,Species_class,Species_order,Species_family,Species_genus,Species_species,Species_no rank,Host_no rank,Host_superkingdom,Host_clade,Host_kingdom,Host_phylum,Host_subphylum,Host_superclass,Host_class,Host_infraclass,Host_order,Host_family,Host_genus,Host_species,Host_superorder,Host_suborder,Host_subfamily,Host_superfamily,Host_subspecies,Host_subclass,Host_cohort,Host_infraorder,Host_tribe,Host_subgenus,Host_parvorder,Host_subcohort
Chiroptera,Bat associated cyclovirus 10,GCF_000929875.1,NA,"Lima,F.E., Cibulski,S.P., Dos Santos,H.F., Teixeira,T.F., Varela,A.P., Roehe,P.M., Delwart,E., Franco,A.C., Lima,F.E.S.",2015-02-22T19:11:10Z,cluster VI,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Brazil,Brazil,NA,feces,2012-02-13,NA,ViralProj268861,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 10,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,,,,Laurasiatheria,,,,,,,,,,,
Chiroptera,Bat associated cyclovirus 4,GCF_002819685.1,NA,NA,2018-08-25T01:02:36Z,YN-BtCV-5,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,China,China,NA,feces,2009,NA,ASM281968v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 4,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,,,,Laurasiatheria,,,,,,,,,,,
Chiroptera,Bat associated cyclovirus 3,GCF_002819665.1,NA,NA,2018-08-25T01:02:31Z,YN-BtCV-4,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,China,China,NA,feces,2009,NA,ASM281966v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 3,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,,,,Laurasiatheria,,,,,,,,,,,
Chiroptera,Bat associated cyclovirus 2,GCF_002819645.1,NA,NA,2018-08-25T01:02:25Z,YN-BtCV-2,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,China,China,NA,feces,2009,NA,ASM281964v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 2,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,,,,Laurasiatheria,,,,,,,,,,,
Chiroptera,Bat associated cyclovirus 1,GCF_002145985.1,NA,"Li,L., Victoria,J.G., Wang,C., Jones,M., Fellers,G.M., Kunz,T.H., Delwart,E.",2017-05-17T01:01:22Z,GF-4c,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA,USA,NA,feces,2009-09,NA,ViralProj386348,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,,,,Laurasiatheria,,,,,,,,,,,
Chiroptera,Bat associated cyclovirus 12,GCF_000930515.1,NA,"Lima,F.E., Cibulski,S.P., Dos Santos,H.F., Teixeira,T.F., Varela,A.P., Roehe,P.M., Delwart,E., Franco,A.C., Lima,F.E.S.",2015-02-22T19:11:31Z,cluster II,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Brazil,Brazil,NA,feces,2012-02-13,NA,ViralProj268862,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 12,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,,,,Laurasiatheria,,,,,,,,,,,
Chrysotila carterae,Pleurochrysis carterae circular virus,GCF_002890135.1,NA,"Martinez Martinez,J., Gilg,I.C., Lyczkowski,E., Krupovic,M., Koonin,E.V., Wilson,W.H.",2018-01-18T14:16:03Z,PcCV-1,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,USA,USA,NA,NA,2016-03-11,NA,ASM289013v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Pleurochrysis carterae circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Haptista,Eukaryota,Haptophyta,,,,,Isochrysidales,Isochrysidaceae,Chrysotila,Chrysotila carterae,,,,,,,,,,,,
Columbidae,Pigeon circovirus,GCF_000843885.1,NA,"Mankertz,A., Hattermann,K., Ehlers,B., Soike,D.",2015-02-12T16:36:54Z,NA,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj14437,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Pigeon circovirus,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,Neognathae,Columbiformes,Columbidae,,,,,,,,,,,,,,
Corvus coronoides,Raven circovirus,GCF_000869425.1,NA,"Stewart,M.E., Perry,R., Raidal,S.R.",2015-02-13T08:31:49Z,4-1131,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Australia,Australia,NA,NA,NA,NA,ViralProj17773,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Raven circovirus,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,Neognathae,Passeriformes,Corvoidea,Corvus,Corvus coronoides,,,,Corvoidea,,,,,,,,
Crematogaster nigriceps,Ant associated cyclovirus 1,GCF_003847225.1,NA,"Rosario,K., Mettel,K.A., Benner,B.E., Johnson,R., Scott,C., Yusseff-Vanegas,S.Z., Baker,C.C., Cassill,D.L., Storer,C., Varsani,A., Breitbart,M.",2019-02-12T12:58:41Z,KY_I1338b_D1_CN,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Kenya,Kenya,NA,NA,2011-07,NA,ASM384722v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Ant associated cyclovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Hexapoda,Insecta,Insecta,Neoptera,Hymenoptera,Formicoidea,Crematogaster,Crematogaster nigriceps,,Apocrita,Myrmicinae,Formicoidea,,Pterygota,Endopterygota,Aculeata,Crematogastrini,Crematogaster,,
Crocidura hirta,Cyclovirus ZM36a,GCF_000925995.1,NA,"Sasaki,M., Orba,Y., Ueno,K., Ishii,A., Moonga,L., Hang'ombe,B.M., Mweene,A.S., Ito,K., Sawa,H.",2015-02-22T19:05:58Z,NA,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Zambia,Zambia,NA,feces,2012-05,NA,ViralProj267266,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Cyclovirus ZM36a,unclassified Cyclovirus,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Soricidae,Crocidura,Crocidura hirta,Laurasiatheria,,Crocidurinae,,,,,,,,,
Culex,Mosquito associated circovirus 1,GCF_004133825.1,NA,"Sadeghi,M., Altan,E., Deng,X., Barker,C.M., Fang,Y., Coffey,L.L., Delwart,E., Coffey,L.",2019-02-12T13:51:28Z,NA,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA,USA,NA,NA,2016-07-02,NA,ASM413382v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Mosquito associated circovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Hexapoda,Insecta,Insecta,Neoptera,Diptera,Culicoidea,Culex,,,Nematocera,Culicinae,Culicoidea,,Pterygota,Endopterygota,Culicomorpha,Culicini,Culex,,
Culex,Mosquito associated circovirus 1,GCF_004133805.1,NA,"Sadeghi,M., Altan,E., Deng,X., Barker,C.M., Fang,Y., Coffey,L.L., Delwart,E., Coffey,L.",2019-02-12T15:06:44Z,NA,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA,USA,NA,NA,2016-07-02,NA,ASM413380v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Mosquito associated circovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Hexapoda,Insecta,Insecta,Neoptera,Diptera,Culicoidea,Culex,,,Nematocera,Culicinae,Culicoidea,,Pterygota,Endopterygota,Culicomorpha,Culicini,Culex,,
Cygnus olor,Swan circovirus,GCF_000925255.1,NA,"Halami,M.Y., Nieper,H., Muller,H., Johne,R., Halami,Y.M., Mueller,H.",2015-02-22T19:03:23Z,H51,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Germany,Germany,NA,NA,2006,NA,ViralProj263507,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Swan circovirus,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,Neognathae,Galloanserae,Anatidae,Cygnus,Cygnus olor,Galloanserae,,Anserinae,,,,,,,,,
Didemnum sp.,Didemnum sp. Sea Squirt associated virus,GCF_001274305.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:06:37Z,I0026A4,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293715,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Didemnum sp. Sea Squirt associated virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Tunicata,Ascidiacea,Ascidiacea,,Aplousobranchia,Didemnidae,Didemnum,Didemnum sp.,,,,,,,,,,,,
Ecklonia radiata,Ecklonia radiata-associated virus 5,GCF_004133005.1,NA,"Beattie,D.T., Lachnit,T., Dinsdale,E.A., Thomas,T., Steinberg,P.D.",2019-02-12T15:03:49Z,NA,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Australia,Australia,NA,NA,2014-06-01,NA,ASM413300v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Ecklonia radiata-associated virus 5,unclassified Circoviridae,cellular organisms,Eukaryota,Sar,Eukaryota,,,Phaeophyceae,Phaeophyceae,,Laminariales,Lessoniaceae,Ecklonia,Ecklonia radiata,,,,,,,,,,,,
Ecklonia radiata,Ecklonia radiata-associated virus 1,GCF_004132965.1,NA,"Beattie,D.T., Lachnit,T., Dinsdale,E.A., Thomas,T., Steinberg,P.D.",2019-02-12T14:35:35Z,NA,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Australia,Australia,NA,NA,2014-06-01,NA,ASM413296v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Ecklonia radiata-associated virus 1,unclassified Circoviridae,cellular organisms,Eukaryota,Sar,Eukaryota,,,Phaeophyceae,Phaeophyceae,,Laminariales,Lessoniaceae,Ecklonia,Ecklonia radiata,,,,,,,,,,,,
Ecklonia radiata,Ecklonia radiata-associated virus 3,GCF_004132985.1,NA,"Beattie,D.T., Lachnit,T., Dinsdale,E.A., Thomas,T., Steinberg,P.D.",2019-02-12T15:03:38Z,NA,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Australia,Australia,NA,NA,2014-06-01,NA,ASM413298v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Ecklonia radiata-associated virus 3,unclassified Circoviridae,cellular organisms,Eukaryota,Sar,Eukaryota,,,Phaeophyceae,Phaeophyceae,,Laminariales,Lessoniaceae,Ecklonia,Ecklonia radiata,,,,,,,,,,,,
Ecklonia radiata,Ecklonia radiata-associated virus 8,GCF_004133045.1,NA,"Beattie,D.T., Lachnit,T., Dinsdale,E.A., Thomas,T., Steinberg,P.D.",2019-02-12T14:13:16Z,NA,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Australia,Australia,NA,NA,2014-06-01,NA,ASM413304v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Ecklonia radiata-associated virus 8,unclassified Circoviridae,cellular organisms,Eukaryota,Sar,Eukaryota,,,Phaeophyceae,Phaeophyceae,,Laminariales,Lessoniaceae,Ecklonia,Ecklonia radiata,,,,,,,,,,,,
Ecklonia radiata,Ecklonia radiata-associated virus 7,GCF_004133025.1,NA,"Beattie,D.T., Lachnit,T., Dinsdale,E.A., Thomas,T., Steinberg,P.D.",2019-02-12T13:48:15Z,NA,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Australia,Australia,NA,NA,2014-06-01,NA,ASM413302v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Ecklonia radiata-associated virus 7,unclassified Circoviridae,cellular organisms,Eukaryota,Sar,Eukaryota,,,Phaeophyceae,Phaeophyceae,,Laminariales,Lessoniaceae,Ecklonia,Ecklonia radiata,,,,,,,,,,,,
Epiprocta,Dragonfly associated cyclovirus,GCF_004133105.1,NA,"Islam,S.U., Lin,W., Wu,R., Lin,C., Islam,W., Arif,M., Du,Z., Wu,Z., Ui Islam,S.",2019-02-12T15:04:33Z,DfCyV-FZ1,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China: Fuzhou,China,NA,abdominal cavity,2016-09-10,NA,ASM413310v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Dragonfly associated cyclovirus,unclassified Cyclovirus,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Hexapoda,Insecta,Insecta,Palaeoptera,Odonata,,,,,Epiprocta,,,,Pterygota,,,,,,
Equus caballus,Horse associated cyclovirus 1,GCF_002820045.1,NA,"Li,L., Giannitti,F., Low,J., Keyes,C., Ullmann,L.S., Deng,X., Aleman,M., Pesavento,P.A., Pusterla,N., Delwart,E.",2018-08-25T01:03:36Z,horse 1,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA,USA,NA,NA,2012-10-10,NA,ASM282004v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Horse associated cyclovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Equidae,Equus,Equus caballus,Laurasiatheria,,,,,,,,,,,
Erythemis simplicicollis,Dragonfly associated cyclovirus 3,GCF_000917995.1,NA,"Rosario,K., Dayaram,A., Marinov,M., Ware,J., Kraberger,S., Stainton,D., Breitbart,M., Varsani,A.",2015-02-22T18:53:53Z,FL2-5E-2010,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,"USA: St. Petersburg, Florida",USA,FL,NA,2010-09-19,NA,ViralProj243275,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Dragonfly associated cyclovirus 3,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Hexapoda,Insecta,Insecta,Palaeoptera,Odonata,Cavilabiata,Erythemis,Erythemis simplicicollis,,Epiprocta,,Cavilabiata,,Pterygota,,Anisoptera,,,,
Erythrodiplax umbrata,Dragonfly associated cyclovirus 5,GCF_000920495.1,NA,"Rosario,K., Dayaram,A., Marinov,M., Ware,J., Kraberger,S., Stainton,D., Breitbart,M., Varsani,A.",2015-02-22T18:58:06Z,PR-6E-2010,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Puerto Rico: Guanica,USA,NA,NA,2010-11-24,NA,ViralProj243274,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Dragonfly associated cyclovirus 5,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Hexapoda,Insecta,Insecta,Palaeoptera,Odonata,Cavilabiata,Erythrodiplax,Erythrodiplax umbrata,,Epiprocta,,Cavilabiata,,Pterygota,,Anisoptera,,,,
Felis catus,Feline associated cyclovirus 1,GCF_000923395.1,NA,"Zhang,W., Li,L., Deng,X., Kapusinszky,B., Pesavento,P.A., Delwart,E.",2015-02-22T19:02:04Z,NA,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA,USA,NA,feces,2013-10,NA,ViralProj258099,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Feline associated cyclovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Felidae,Felis,Felis catus,Laurasiatheria,Feliformia,Felinae,,,,,,,,,
Felis catus,Feline stool-associated circular virus KU14,GCF_004041515.1,NA,"Takano,T., Hohdatsu,T.",2019-02-12T13:18:34Z,NA,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,"Japan: Aomori, Towada",Japan,NA,NA,2018,NA,ASM404151v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Vilyaviridae,Andurilvirus,Andurilvirus erebor,Feline stool-associated circular virus KU14,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Felidae,Felis,Felis catus,Laurasiatheria,Feliformia,Felinae,,,,,,,,,
Fringillidae,Finch circovirus,GCF_000869525.1,NA,"Todd,D., Scott,A.N., Fringuelli,E., Shivraprasad,H.L., Gavier-Widen,D., Smyth,J.A., Scott,A.N.J.",2015-02-13T08:32:08Z,NA,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj18021,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Finch circovirus,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,Neognathae,Passeriformes,Passeroidea,,,,,,Passeroidea,,,,,,,,
Gallus gallus,Chicken associated cyclovirus 1,GCF_000887995.1,NA,"Li,L., Shan,T., Soji,O.B., Alam,M.M., Kunz,T.H., Zaidi,S.Z., Delwart,E.",2015-02-22T18:10:58Z,NGchicken15,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Nigeria,Nigeria,NA,muscle,2009,NA,ViralProj61953,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Chicken associated cyclovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,Neognathae,Galloanserae,Phasianidae,Gallus,Gallus gallus,Galloanserae,,Phasianinae,,,,,,,,,
Gallus gallus,Chicken associated cyclovirus 2,GCF_004133245.1,NA,"Lima,D.A., Roehe,P.M.",2019-02-12T14:13:56Z,NA,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Brazil,Brazil,NA,feces,2015,NA,ASM413324v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Chicken associated cyclovirus 2,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,Neognathae,Galloanserae,Phasianidae,Gallus,Gallus gallus,Galloanserae,,Phasianinae,,,,,,,,,
Gallus gallus,Chicken associated cyclovirus 1,GCF_002819905.1,NA,"Li,L., Shan,T., Soji,O.B., Alam,M.M., Kunz,T.H., Zaidi,S.Z., Delwart,E.",2018-08-25T01:03:22Z,NGchicken8,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Nigeria,Nigeria,NA,muscle,2009,NA,ASM281990v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Chicken associated cyclovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,Neognathae,Galloanserae,Phasianidae,Gallus,Gallus gallus,Galloanserae,,Phasianinae,,,,,,,,,
Gammarus sp.,Gammarus sp. amphipod associated circular virus,GCF_001274045.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:02:17Z,I0153,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293712,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Gammarus sp. amphipod associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,,Peracarida,Gammaroidea,Gammarus,Gammarus sp.,Peracarida,Senticaudata,,Gammaroidea,,Eumalacostraca,,Gammarida,,,Gammaridira,
Garrulus glandarius,Garrulus glandarius associated circular virus 1,GCF_002219445.1,NA,"Feher,E., Kaszab,E., Lengyel,G., Banyai,K.",2017-07-16T01:00:33Z,NA,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Hungary,Hungary,NA,feces,2013,NA,ViralProj394310,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Garrulus glandarius associated circular virus 1,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,Neognathae,Passeriformes,Corvoidea,Garrulus,Garrulus glandarius,,,,Corvoidea,,,,,,,,
Gastropoda,Marine snail associated circular virus,GCF_001274145.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:03:56Z,I0084,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293733,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Marine snail associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Gastropoda,Gastropoda,,,,,,,,,,,,,,,,,
Hipposideros armiger,Bat associated circovirus 11,GCF_004049235.1,NA,"Zhu,A., He,B., Tu,C.",2021-06-01T15:51:15Z,Mengyuan2,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,China,China,NA,NA,2011,NA,ASM404923v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Bat associated circovirus 11,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Hipposideridae,Hipposideros,Hipposideros armiger,Laurasiatheria,Microchiroptera,,,,,,,,,,
Homo sapiens,Human associated cyclovirus 10,GCF_000918035.2,NA,"Phan,T.G., Luchsinger,V., Avendano,L.F., Deng,X., Delwart,E., Phan,T.",2017-10-11T15:42:05Z,NA,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Chile,Chile,NA,oronasopharynx,2004,NA,ViralProj243497,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Human associated cyclovirus 10,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Homo sapiens,Human associated cyclovirus 11,GCF_002820225.1,NA,"Delwart,E.",2018-08-25T01:03:54Z,NA,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Sri Lanka,Sri Lanka,NA,cerebrospinal fluid,2009,NA,ASM282022v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Human associated cyclovirus 11,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Homo sapiens,Human associated cyclovirus 3,GCF_002820105.1,NA,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.",2018-08-25T01:03:39Z,PK5222,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Pakistan,Pakistan,NA,feces,2006,NA,ASM282010v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Human associated cyclovirus 3,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
